Ticker,Asset,Price,Time,Date
BTC,Bitcoin,"59,484.61",23:23:53,2024-08-18
BTC,Bitcoin,"59,484.61",23:23:53,2024-08-18
BTC,Bitcoin,"59,528.88",23:23:53,2024-08-18
BTC,Bitcoin,"59,528.88",23:23:54,2024-08-18
BTC,Bitcoin,"59,528.88",23:23:56,2024-08-18
BTC,Bitcoin,"59,528.88",23:23:57,2024-08-18
BTC,Bitcoin,"59,528.88",23:23:58,2024-08-18
BTC,Bitcoin,"59,528.88",23:24:00,2024-08-18
BTC,Bitcoin,"59,528.88",23:24:01,2024-08-18
BTC,Bitcoin,"59,528.88",23:24:02,2024-08-18
BTC,Bitcoin,"59,528.88",23:24:04,2024-08-18
BTC,Bitcoin,"59,528.88",23:24:05,2024-08-18
BTC,Bitcoin,"59,528.88",23:24:06,2024-08-18
BTC,Bitcoin,"59,528.88",23:24:08,2024-08-18
BTC,Bitcoin,"59,528.88",23:24:09,2024-08-18
BTC,Bitcoin,"59,528.88",23:24:10,2024-08-18
BTC,Bitcoin,"59,528.88",23:24:11,2024-08-18
BTC,Bitcoin,"59,528.88",23:24:13,2024-08-18
BTC,Bitcoin,"59,528.88",23:24:14,2024-08-18
BTC,Bitcoin,"59,528.88",23:24:15,2024-08-18
BTC,Bitcoin,"59,528.88",23:24:17,2024-08-18
BTC,Bitcoin,"59,528.88",23:24:18,2024-08-18
BTC,Bitcoin,"59,528.88",23:24:19,2024-08-18
BTC,Bitcoin,"59,528.88",23:24:20,2024-08-18
BTC,Bitcoin,"59,528.88",23:24:22,2024-08-18
BTC,Bitcoin,"59,528.88",23:24:23,2024-08-18
BTC,Bitcoin,"59,528.88",23:24:24,2024-08-18
BTC,Bitcoin,"59,528.88",23:24:25,2024-08-18
BTC,Bitcoin,"59,528.88",23:24:27,2024-08-18
BTC,Bitcoin,"59,528.88",23:24:28,2024-08-18
BTC,Bitcoin,"59,528.88",23:24:29,2024-08-18
BTC,Bitcoin,"59,528.88",23:24:31,2024-08-18
