Ticker,Asset,Price,Time,Date
BTC,Bitcoin,"59,508.22",23:13:19,2024-08-18
BTC,Bitcoin,"59,508.22",23:13:23,2024-08-18
BTC,Bitcoin,"59,485.20",23:13:26,2024-08-18
BTC,Bitcoin,"59,485.20",23:13:30,2024-08-18
BTC,Bitcoin,"59,485.20",23:13:33,2024-08-18
BTC,Bitcoin,"59,485.20",23:13:36,2024-08-18
BTC,Bitcoin,"59,487.89",23:13:40,2024-08-18
BTC,Bitcoin,"59,487.89",23:13:43,2024-08-18
BTC,Bitcoin,"59,487.89",23:13:46,2024-08-18
BTC,Bitcoin,"59,475.25",23:13:50,2024-08-18
BTC,Bitcoin,"59,475.25",23:13:53,2024-08-18
BTC,Bitcoin,"59,475.25",23:13:56,2024-08-18
BTC,Bitcoin,"59,471.18",23:14:00,2024-08-18
BTC,Bitcoin,"59,470.06",23:14:03,2024-08-18
BTC,Bitcoin,"59,470.06",23:14:07,2024-08-18
BTC,Bitcoin,"59,470.06",23:14:10,2024-08-18
BTC,Bitcoin,"59,470.06",23:14:13,2024-08-18
BTC,Bitcoin,"59,470.06",23:14:17,2024-08-18
BTC,Bitcoin,"59,477.23",23:14:20,2024-08-18
BTC,Bitcoin,"59,486.30",23:14:24,2024-08-18
BTC,Bitcoin,"59,486.30",23:14:27,2024-08-18
BTC,Bitcoin,"59,483.61",23:14:30,2024-08-18
BTC,Bitcoin,"59,480.94",23:14:34,2024-08-18
BTC,Bitcoin,"59,480.94",23:14:37,2024-08-18
BTC,Bitcoin,"59,487.15",23:14:40,2024-08-18
BTC,Bitcoin,"59,488.65",23:14:44,2024-08-18
BTC,Bitcoin,"59,488.65",23:14:47,2024-08-18
BTC,Bitcoin,"59,485.64",23:14:50,2024-08-18
BTC,Bitcoin,"59,489.32",23:14:54,2024-08-18
BTC,Bitcoin,"59,489.32",23:14:57,2024-08-18
